mathId,name,advisors,thesis,thesisUniversity,thesisCountry,thesisYear,numStudents,numDescendants
168152,Seok Ki Choi,Ching-Jen  Chen,Numerical study of laminar and turbulent flows past two-dimensional and axisymmetric bodies,University of Iowa,UnitedStates,1989,0,0
168153,Kent David Carlson,Ching-Jen  Chen,Numerical simulation of fluid flow and conjugate heat transfer for complex geometries,Florida State University,UnitedStates,1997,0,0
168154,Hang  Yuan,Yousef  Haik,Effects of static magnetic fields on mammalian cells,Florida State University,UnitedStates,2005,0,0
168155,Pierre-Jacques  Courtois,Jean  Meinguet;Guy  de Ghellinck;Elie  Milgrom;Herbert Alexander Simon;Guy  Louchard,Decomposability with applications to queueing network and computer system analysis,Appliquées Université Catholique de Louvain,Belgium,1976,0,0
168156,Sara  Litimein,Mouffak  Benchohra,A quantitative study of certain differential equations of fractional order,Sidi Bel Abbes University,Algeria,2012,0,0
168157,Marie-Jeanne  Munteanu,Jean  Meinguet,Contributions à la théorie des fonctions splines à une et à plusieurs variables,,Romania,,0,0
168158,Ryan  Smith,David Lawrence Savitt,Serre Weights: The Partially Ramified Case,University of Arizona,UnitedStates,2012,0,0
168159,Dimitrios  Vardoulakis,Olin  Shivers,CFA2: Pushdown Flow Analysis for Higher-Order Languages,Northeastern University,UnitedStates,2012,0,0
168160,Kostas  Arkoudas,Olin  Shivers,Denotational Proof Languages,Massachusetts Institute of Technology,UnitedStates,2000,0,0
168161,Alexander  Spoon,Olin  Shivers,Demand-Driven Type Inference with Subgoal Pruning,Georgia Institute of Technology,UnitedStates,2005,0,0
168162,David  Fisher,Olin  Shivers,Static Semantics for Syntax Objects,Northeastern University,UnitedStates,2010,0,0
168163,Mehdi  Soleymani,Stephen Man-Sing Lee,Resampling algorithms for improved classification and estimation,University of Hong Kong,HongKong,2011,0,0
168164,John W. Rudnicki,James Robert Rice,Localization of deformation brittle rock failure and a model for the inception of earth faulting,Brown University,UnitedStates,1977,2,3
168165,Henning  Meyerhenke,Burkhard  Monien,Disturbed Diffusive Schemes for Solving Partitioning Problems on Graphs,rer. nat. Universität Paderborn,Germany,2008,0,0
168166,Wenhan  Wang,Neal I. Koblitz,Isolated Curves for Hyperelliptic Curve Cryptography,University of Washington,UnitedStates,2012,0,0
168167,Angel  GarcÃ­a-CerdaÃ±a,Francesc  Esteva i Massaguer;Ventura  VerdÃº Solans,On Some Implication-free Fragments of Substructural and Fuzzy Logics,Universitat de Barcelona,Catalonia,2007,0,0
168168,Oleksandra  Putyatina,JÃ¶rn  SaÃ;Wolfgang Johann Runggaldier,Filtering Approximation and Portfolio Optimization for Shot-Noise Models and the Heston Model,Technische Universität Kaiserslautern,Germany,2012,0,0
168169,Matthias Wolfgang AltenhÃ¶fer,Sven Oliver Krumke;JÃ¶rg  Rambau,Combinatorial Structures In Steel Production Optimization and Social
Network Modeling,Technische Universität Kaiserslautern,Germany,2012,0,0
168170,Lara Ruth Turner,Horst Wilhelm Hamacher;Justo  Puerto Albandoz,Universal Combinatorial Optimization: Matroid Bases and Shortest Paths,Technische Universität Kaiserslautern,Germany,2012,0,0
168171,Nikolai Makarievich Nagorny,Andrei Andreevich Markov,Some Problems in Theory of Algorithms and in Constructive Mathematical Logic,Lomonosov Moscow State University,Russia,1965,2,2
168172,Gareth  Ridall,Anthony (Tony) N. Pettitt,Bayesian latent variable models for biostatistical applications,Queensland University of Technology,Australia,2005,0,0
168173,Christer  Karlsson,Zizhong  Chen,Optimizing Multi-Dimensional MPI Communications on Multi-Core Architectures,Colorado School of Mines,UnitedStates,2012,0,0
168174,Rosalie  Wheeler,Haiyan  Cai,Function estimation of irregularly spaced data with long memory dependence,University of Missouri - St. Louis,UnitedStates,2012,0,0
168175,Shane  Kelly,Denis-Charles  Cisinski;Amnon  Neeman,Triangulated categories of motives in positive characteristic,Australian National University and Université Paris XIII,Australia,2012,0,0
168176,Michael  HÃ¶hle,Ludwig  Fahrmeir;Leonhard  Held;Friedrich  Leisch,Statistical Modeling and Monitoring of Infectious Diseases,habil Ludwig-Maximilians-Universität München,Germany,2009,1,1
168177,Seokcheon  Lee,Soundar R. T. Kumara,Market-based model predictive control for survivable distributed information systems: Resource allocation and algorithm selection,The Pennsylvania State University,UnitedStates,2005,1,1
168178,S. Phil (Sang-Phil) Kim,J. George (Jeyaveerasingam) Shanthikumar;Seokcheon  Lee,Stochastic Inventory Control in Closed-Loop Hybrid System with Remanufacturing,Purdue University,UnitedStates,2012,0,0
168179,Gurpur Madhav Prabhu,Narsingh  Deo,Practical Algorithms For Testing Non-Isomorphism of Graphs,Washington State University,UnitedStates,1983,8,19
168180,Srinivas  Aluru,Gurpur Madhav Prabhu;John Leroy Gustafson,Distribution-independent hierarchical N-body methods,Iowa State University,UnitedStates,1994,11,11
168181,Thierry  Crestaux,Olivier D. Lafitte,Methodes nun intrusives et polynomes de chaos,,,2010,0,0
168182,Abdul  Kabbani,Balaji S. Prabhakar,Algorithms For Congestion Control & Bandwidth-Partitioning In Data Centers,,UnitedStates,,0,0
168183,Robert J. Simmons,Frank  Pfenning,Substructural Logical Specifications,Carnegie Mellon University,UnitedStates,2012,0,0
168184,Jeong-Rae  Kim,Suhyoung  Choi,Projective structures on hyperbolic knot complements,Seoul National University,SouthKorea,2004,0,0
168185,Sarah  Davis,Miles Anthony Reid,Crepant and resolutions and A-Hilbert schemes in dimension four,University of Warwick,UnitedKingdom,2012,0,0
168186,Oliver  Karch,Hartmut  Noltemeier,Where am I? - Indoor localization based on range measurements,,,2003,0,0
168187,Xavier  Venel,JÃ©rÃ´me  Renault,Existence of the uniform value in repeated games,Université de Toulouse,France,2012,0,0
168188,CÃ¼neyt  ToyganÃ¶zÃ¼,Bilender P.  Allahverdiev,,Süleyman Demirel University,Turkey,2009,0,0
168190,HÃ¼seyin  Tuna,Bilender P.  Allahverdiev,,Süleyman Demirel University,Turkey,2011,0,0
168191,Boyu  Zhang,Josef  Hofbauer;Karl  Sigmund,Evolutionary Games and Equilibrium Selection,rer. nat. Universität Wien,Austria,2012,0,0
168192,Aaron  Tomb,Cormac  Flanagan,Program Inconsistency Detection: Universal reach ability analysis and conditional slicing,University of California Santa Cruz,UnitedStates,2011,0,0
168193,Justin Wesley Smith,George Barry Purdy,Problems and Results in Discrete and Computational Geometry,University of Cincinnati,UnitedStates,2012,0,0
168194,Ashvin  Vishwanath,F. Duncan M. Haldane,Vortices Quasiparticles and Unconventional Superconductivity,,,2001,0,0
168195,Hoi-Kwong  Lo,John Phillip Preskill,Exotic Phenomena in Non-Abelian Gauge Theories,California Institute of Technology,UnitedStates,1994,1,1
168196,Beth  Herbel-Eisenmann,David  Pimm,How discourse structures norms: A tale of two middle school mathematics classrooms,Michigan State University,UnitedStates,2000,0,0
168198,Jeongho  Kim,Mehrdad  Massoudi,Multiphase CFD Analysis and Shape-Optimization of Blood-Contacting Medical Devices,Carnegie Mellon University,UnitedStates,2012,0,0
168199,Chia-Tung  Ling,Jong-Shenq  Guo,The study of singularities for two parabolic problems,National Taiwan Normal University,Taiwan,2012,0,0
168200,Ying-Chih  Lin,Jong-Shenq  Guo,On a lattice dynamical system with convolution type nonlinearity,National Taiwan Normal University,Taiwan,2012,0,0
168201,Julius  Heim,Martin  Bohner,Economics and Finance on Time Scales,Missouri University of Science and Technology,UnitedStates,2012,0,0
168202,Rotchana  Chieochan,Martin  Bohner,Periodic q-Difference Equations,Missouri University of Science and Technology,UnitedStates,2012,0,0
168203,Edward George Schilling,,General method for determining the operating characteristics of mixed variables-attributes sampling plans single sided specification standard deviation
known,Rutgers University New Brunswick,UnitedStates,1967,0,0
168204,Bertram  Taetz,Christiane  Helzel;James Alexander Rossmanith,Unstaggered constrained transport methods for ideal magnetohydrodynamic equations,rer. nat. Ruhr-Universität Bochum,Germany,2012,0,0
168205,Maciej  Kandulski,Tadeusz  BatÃ³g,,Uniwersytet im. Adama Mickiewicza w,Poland,Poznaniu,0,0
168206,Wojciech  Zielonka,Tadeusz  BatÃ³g,,Uniwersytet im. Adama Mickiewicza w,Poland,Poznaniu,0,0
168207,JÃ©rÃ©my  Le Borgne,Xavier  Caruso;David  Lubicz,Représentations galoisiennes et phi-modules : aspects algorithmiques,Université Rennes I,France,2012,0,0
