mathId,name,advisors,thesis,thesisUniversity,thesisCountry,thesisYear,numStudents,numDescendants
17728,Om Parkash Bagai,Stanley W. Nash,Statistical Analysis,University of British Columbia,Canada,1960,0,0
17729,Roy  Westwick,Marvin David Marcus,Linear Transformations,University of British Columbia,Canada,1959,8,11
17730,Bomshik  Chang,Stephen Arthur Jennings,Engal Rings,University of British Columbia,Canada,1959,-1,-1
17731,George Elliot Cross,Ralph Duncan James,Trigonometric Series,University of British Columbia,Canada,1958,-1,2
17732,Rimhak  Ree,Stephen Arthur Jennings,Witt Algebras,University of British Columbia,Canada,1955,0,0
17733,Wilfred Eaton Barnes,David Carrithers Murdoch,Non-Commutative Rings,University of British Columbia,Canada,1954,-1,-1
17735,Edmond E. Granirer,Harry  Kesten,On Amenable Semigroups with a Finite Dimensional Set of Invariant Means,Hebrew University,Israel,1962,6,80
17736,Nassif A. Ghoussoub,Gustave  Choquet;Antoine  Brunel,,Université Pierre-et-Marie-Curie - Paris VI,France,1979,11,11
17737,Stanley Stephen Page,James Patrick Jans,On Hochschild Extensions and Stability of Subalgebra in the Deformation Theory,University of Washington,UnitedStates,1966,5,8
17738,Roy Rene Douglas,P. Emery (Paul) Thomas,Homotopy-Commutativity in H-spaces,University of California Berkeley,UnitedStates,1965,6,14
17739,Colin W. Clark,,,University of Washington,UnitedStates,1958,5,7
17740,Francis H. Clarke,Ralph Tyrrell Rockafellar,Necessary Conditions for Nonsmooth Problems in Optimal Control and the Calculus of Variations,University of Washington,UnitedStates,1973,8,17
17741,Uri Michael Ascher,Judah Benjamin  Rosen,A Collocation Method for Parabolic and Elliptic Quasilinear Problems on General Domains,University of Minnesota-Minneapolis,UnitedStates,1975,9,13
17742,Norberto  Laghi,Andreas  Seeger,Topics in the Regularity Theory of Fourier Integral Operators,University of Wisconsin-Madison,UnitedStates,2004,0,0
17743,Leah  Edelstein-Keshet,Lee Aaron Segel,Modelling Biological Growth with Fungiand Plants as Examples,Weizmann Institute of Science,Israel,1982,5,8
17744,Donald John Charles Bures,Israel  Halperin,The Type of Certain Factors Constructed as Infinite Tensor Products,Princeton University,UnitedStates,1961,5,6
17745,Peter Southcott Bullen,John Edensor Littlewood,Properties of the Coefficients of General Orthonormal Sequences,University of Cambridge,UnitedKingdom,1955,-1,-1
17746,A. T. Bui,,,,,Ph.D.,-1,2
17747,Lawrence Peter Belluce,Chen Chung Chang,The Theory of Infinitely Valued Predicate Logic,University of California Los Angeles,UnitedStates,1963,3,8
17748,David Michael Austin,Ronald John Stern,SO(3)-Instantions on L(pq) x R,University of Utah,UnitedStates,1989,-1,-1
17749,James Baldwin Carrell,Carl Barnett Allendoerfer,The Cohomology Ring of a Smooth Manifold,University of Washington,UnitedStates,1967,3,8
17752,Norm  Shklov,,,Indiana,UnitedStates,University,3,3
17753,Naoki  Kimura,Alfred Hoblitzelle Clifford,On Semigroups,Tulane University,UnitedStates,1957,5,9
17754,Joel Shalom Feldman,Arthur Michael Jaffe,The Lambda Phi Four Three Field Theory in a Finite Volume,Harvard University,UnitedStates,1974,4,11
17755,James Victor Zidek,Charles M. Stein,On the Admissibility of Formal Bayes Estimators,Stanford University,UnitedStates,1967,7,30
17756,Brian Thomas Robinson Wetton,Thomas Yizhao Hou,Convergence of Numerical Approximations for the Navier-Stokes Equations with Boundaries: Vorticity and Primitive Formulations,New York University,UnitedStates,1991,5,11
17757,James Martin Varah,George Elmer Forsythe,The Computation of the Invariant Subspaces of a General Matrix Operator,Stanford University,UnitedStates,1967,6,6
17758,Maurice  Sion,Anthony Perry Morse,On the Existence of Functions Having Given Partial Derivatives on Whitney's Curve,University of California Berkeley,UnitedStates,1951,4,4
17759,Lon Michael Rosen,James G. Glimm,A Quantum Field Theory without Cutoffs for Self-Interacting Bosons,New York University,UnitedStates,1970,5,12
17760,Kee Yuen Lam,Norman Earl Steenrod,Non-Singular Bilinear Forms and Vector Bundles over P^n,Princeton University,UnitedStates,1966,2,2
17761,Murray Angus Marshall,Paulo  Ribenboim;JÃ¼rgen  Neukirch,,Queen's University at Kingston,Canada,1969,5,5
17762,Stanley W. Nash,,,,,Ph.D.,4,4
17763,Robert Mitsuru Miura,George Korvin Bienkowski,An Asymptotic Theory for Linearized Near-Continuum Flow Problems,Princeton University,UnitedStates,1966,9,11
17764,Zdzislaw Alexander Melzak,Norman  Levinson,Existence of Solutions of a Scalar Transport Equation,Massachusetts Institute of Technology,UnitedStates,1956,4,6
17765,Lawrence Gordon Roberts,Barry Charles Mazur,On the Flat Cohomology of Finite Group Schemes,Harvard University,UnitedStates,1968,2,5
17766,John Groves Heywood,Robert S. Finn,On Nonstationary Problems for the Navier-Stokes Equations and the Stability of Stationary Flows,Stanford University,UnitedStates,1968,4,4
17767,Parannara  Basavappa,Naoki  Kimura;Norm  Shklov,On Some Matrix Equations,University of Saskatchewan,Canada,1963,0,0
17768,Isar Chandra Chakravartty,Andrew P. Guinand,The Prime Number Summation Formula and Its Applications,University of Saskatchewan,Canada,1965,0,0
17769,Terrance Laverne Pearson,Andrew P. Guinand,Almost Elliptic Functions,University of Saskatchewan,Canada,1965,0,0
17770,Agnes Margaret Herzberg,Norm  Shklov,On Rotatable and Cylindrically Rotable Designs,University of Saskatchewan,Canada,1966,0,0
17771,Cyril  Nasim,Andrew P. Guinand,The Divisor Summation Formulae and Related Topics,University of Saskatchewan,Canada,1966,0,0
17772,George Murice Lancaster,R.  Blum,On Conformally Euclidean Spaces of Class One,University of Saskatchewan,Canada,1967,0,0
17773,Charles Dennis O'Shaughness,Norm  Shklov,Quatric Designs,University of Saskatchewan,Canada,1968,0,0
17774,Sarveswara Rao Koneru,Rampurkar  Manohar,Numerical Solution of Non-Steady and Steady State Boundary Value Problems,University of Saskatchewan,Canada,1970,0,0
17775,Ting-On  To,Percy Mortimer Cuttle,The Hahn-Banach Type Extension Properties in Ordered Linear Spaces and Semi-Normed Linear Spaces,University of Saskatchewan,Canada,1970,0,0
17776,Jerre D. Noe,William R. Hewlett,Gain Characteristics of Distributed Amplifiers,Stanford University,UnitedStates,1949,2,25
17777,Murli Manohar Gupta,Rampurkar  Manohar,Convergence and Stability of Finite Difference Schemes for Some Elliptic Equations,University of Saskatchewan,Canada,1971,2,11
17778,Rodney S. Rambally,Bikkar Singh Lalli,Asymptotic Properties of Solutions of Perturbed Non-Linear Systems of Ordinary Differential Equations,University of Saskatchewan,Canada,1972,0,0
17779,John Wesley Stephenson,Rampurkar  Manohar,Finite Element Procedures for Problems with Curved Boundaries,University of Saskatchewan,Canada,1973,2,8
17780,Kee-Leong  Teo,Robert Vaughan Moody,Modular Euclidean Lie Algebras and the Automorphism Groups of their Simple Quotients,University of Saskatchewan,Canada,1973,0,0
17781,Rangacharya P. Jahagirdar,Bikkar Singh Lalli,Boundedness and Oscillation of Solutions of Certain Second Order Ordinary Differentail Equations,University of Saskatchewan,Canada,1973,0,0
17782,Tat-Yuen  Ngai,Rampurkar  Manohar,Continuation Methods for the Solution of Nonlinear Equations,University of Saskatchewan,Canada,1976,0,0
17783,Elsayed  Abo-Zeid,Edward Dmytro Tymchatyn,Some Results in Continua Theory and Hyperspaces,University of Saskatchewan,Canada,1978,0,0
17784,Shankar T. Hegde,Percy Mortimer Cuttle,Zon Z-Separating Algebras Compactifications and Integral Representations,University of Saskatchewan,Canada,1978,0,0
17785,Said Rezk Grace,Bikkar Singh Lalli,On Oscillation and Asymptotic Behaviour of Solutions of Differential and Integro-Differential Equations,University of Saskatchewan,Canada,1981,0,0
17786,Arturo  Pianzola,Robert Vaughan Moody,The Arithmetic Theory of Elements of Finite Order in Simple Lie Groups,University of Saskatchewan,Canada,1984,3,3
17787,Bahman  Mashhood,Keith Frederick Taylor,The Index in Type II1 Factors,University of Saskatchewan,Canada,1988,0,0
17788,Irfan  Altas,John Wesley Stephenson,Adaptive Mesh Generation,University of Saskatchewan,Canada,1988,0,0
17789,H. Murat Tuncali,Edward Dmytro Tymchatyn,Some Generalizations of the Hahn-Mazurkiewicz Theorem,University of Saskatchewan,Canada,1989,0,0
17790,Kyung L. Eum,Keith Frederick Taylor,Convolution Operator Norms,University of Saskatchewan,Canada,1990,0,0
17791,Yiqiang  Zhao,Winfried  Grassmann,Shortest Queue Models,University of Saskatchewan,Canada,1990,-1,-1
17792,Eckart  Schulz,Keith Frederick Taylor,The Stable Rank of Crossed Products of Sectional C*-algebras by Compact Lie Groups,University of Saskatchewan,Canada,1990,-1,-1
17793,Jian (James) Wang,M. J. Miket,Numerical Solutions for Hyperbolic Conservation Laws,University of Saskatchewan,Canada,1992,0,0
17794,John Gerald Bliss,Stephen  Berman,The Axiomatic Basis for Root Systems,University of Saskatchewan,Canada,1993,0,0
17795,Yun  Gao,Stephen  Berman,Skew-Dihedral Homology and Involutive Lie Algebras Graded by Finite Root Systems,University of Saskatchewan,Canada,1994,2,2
17796,Leslie  Walter,Murray Angus Marshall,Orders and Signatures of Higher Level on a Commutative Ring,University of Saskatchewan,Canada,1994,0,0
17797,Xikui  Wang,Mikelis Guntars Bickis,Sequential Selections of Treatments with Delayed Responses,University of Saskatchewan,Canada,1995,4,4
17798,Yaroslav  Krylyuk,Stephen  Berman,On the Structure of Quasi-Simple Lie Algebras and their Automorphism Groups,University of Saskatchewan,Canada,1995,0,0
17799,Gordon Eric Sarty,James Alan Brooke,K-Plane Coordinate Reconstruction for Magnetic Resonance Imaging,University of Saskatchewan,Canada,1995,-1,-1
17800,Mingze  Yang,Keith Frederick Taylor,A Study of Crystal Groups and Related Subjects,University of Saskatchewan,Canada,1996,0,0
