mathId,name,advisors,thesis,thesisUniversity,thesisCountry,thesisYear,numStudents,numDescendants
99952,Talia  FernÃ³s,Alex  Furman,Relative Property (T) Linear Groups and Applications,University of Illinois at Chicago,UnitedStates,2006,0,0
99953,Kay  Moritzen,Wolfgang  Achtziger;Andreas  Fischer,Nichtglatte Analysis und Numerik von Eigenwerten zur Designoptimierung mechanischer Strukturen,rer. nat. Universität Dortmund,Germany,2006,0,0
99954,Rudolf Hermann Riedi,Christian  Blatter;Corneliu  Constantinescu,An Improved Multifractal Formalism and Self-affine Measures,Sc. Math. ETH Zürich,Switzerland,1993,0,0
99955,Amr  Farahat,Cynthia  Barnhart,Tractability Through Approximation: A Study of Two Discrete Optimization Problems,Massachusetts Institute of Technology,UnitedStates,2004,0,0
99956,Alexandre  Belloni,Robert Michael Freund,Studies Integrating Geometry Probability and Optimization under Convexity,Massachusetts Institute of Technology,UnitedStates,2006,0,0
99957,Manuel  Nunez,Robert Michael Freund,Condition Numbers and Properties of Central Trajectories in Convex Programming,Massachusetts Institute of Technology,UnitedStates,1997,0,0
99958,Rob  Shillingsburg,Edward William Felten,Fault Tolerance in the Pulsar Cluster Server,Princeton University,UnitedStates,2004,0,0
99959,Brent  Waters,Amit  Sahai;Edward William Felten,Cryptographic Algorithms for Privacy in an Age of Ubiquitous Recording,Princeton University,UnitedStates,2004,0,0
99960,Rob  Kalnins,Adam  Finkelstein,WYSIWYG NPR: Interactive Stylization for Stroke-Based Rendering of 3D Animation,Princeton University,UnitedStates,2004,0,0
99961,Misha  Kazhdan,Thomas Allen Funkhouser,Shape Representations and Algorithms for 3D Model Retrieval,Princeton University,UnitedStates,2004,0,0
99962,Patrick  Min,Thomas Allen Funkhouser,A 3D Model Search Engine,Princeton University,UnitedStates,2003,0,0
99963,Mao  Chen,Jaswinder Pal Singh,Using User-Provided Information to Improve Internet Services,Princeton University,UnitedStates,2004,0,0
99964,Yefim  Shuf,Jaswinder Pal Singh,Improving the Memory Performance of Java Workloads,Princeton University,UnitedStates,2003,0,0
99965,Han  Chen,Kai  Li,Scalable and Ultra-High Resolution MEG Video Delivery on Tiled Displays,Princeton University,UnitedStates,2003,0,0
99966,Elad  Hazan,Sanjeev  Arora,Efficient Algorithms for Online Convex Optimization and their Applications,Princeton University,UnitedStates,2006,0,0
99967,Iannis  Tourlakis,Sanjeev  Arora,New Lower Bounds for Approximation Algorithms in the Lovasz Schrijver Hierarchy,Princeton University,UnitedStates,2006,0,0
99968,Ananda Bandulasiri Manage,Victor  Patrangenaru,Statistical Shape Analysis in Medical Imaging,Texas Tech University,UnitedStates,2006,0,0
99969,Bernardo Rangel Tura,Basilio de BraganÃ§a Pereira,Analysis of the Dynamics of Mortality due to Circulatory Systems Desease Using the Gompertz Equation,Universidade Federal do Rio de Janeiro,Brazil,2006,0,0
99971,Esteban  Flores,JosÃ©  Garrido,Robust Regression Methods for Insurance Risk Classification,Concordia University,Canada,2002,0,0
99972,Shuanming  Li,JosÃ©  Garrido,On the Time Value of Ruin for Insurance Risk,Concordia University,Canada,2004,2,2
99973,Yi  Lu,JosÃ©  Garrido,On Periodic and Markovian Non-homogeneous Poisson Processes and Their Application in Risk Theory,Concordia University,Canada,2005,0,0
99974,Manuel  Morales,JosÃ©  Garrido,Generalized risk processes and Lévy modeling in risk theory,Concordia University,Canada,2003,1,1
99975,Yitzhak  Mandelbaum,David Patrick Walker,The Theory and Practice of Data Description,Princeton University,UnitedStates,2006,0,0
99976,Alessandro  Zaccagnini,Alberto  Perelli,Somme di primi e k-esime potenze,Università di Genova,Italy,1994,0,0
99977,H. A. Abduvalitov,Ergash  Muhamadiev,,Tadzhik State,Tajikistan,University,2,2
99978,S.  Dzhumaev,Ergash  Muhamadiev,,Tadzhik State,Tajikistan,University,0,0
99979,Ahmet  Duran,Gunduz  Caginalp,Overreaction Behavior and Optimization Techniques in Mathematical Finance,University of Pittsburgh,UnitedStates,2006,0,0
99980,Murali Krishnan Ganapathy,LÃ¡szlÃ³  Babai,Robust Mixing,The University of Chicago,UnitedStates,2006,0,0
99981,John Jacob McBride,Thomas Lester Bratcher,Conjugate Hierarchical Models for Spatial Data: An Application of an Optimal Selection Procedure,Baylor University,UnitedStates,2006,0,0
99982,Anne-CÃ©cile  Goderniaux,IrÃ¨ne  Gijbels,Automatic detection of change-points in nonparametric regression,Université Catholique de Louvain,Belgium,2001,0,0
99983,VinÃ­cius  Mello,Luiz  Velho,Novos Métodos Simpliciais em Computaçìo Gráfica,Instituto de Matemática Pura e Aplicada,Brazil,2006,0,0
99984,Andy  Bavier,Larry Lee Peterson,The Tyche CPU Scheduler,Princeton University,UnitedStates,2004,0,0
99985,Yitzchak Zuki Gottlieb,Larry Lee Peterson,Operating System Support for Generalized Packet Forwarding,Princeton University,UnitedStates,2004,0,0
99986,Limin  Wang,Larry Lee Peterson,Building Robust Network Services Through Efficient Resource Management,Princeton University,UnitedStates,2003,0,0
99987,Jie  Chen,Andrea Suzanne LaPaugh,Comparison of Clustering Algorithms and its Application to Document Clustering,Princeton University,UnitedStates,2005,0,0
99988,Soumya  Ray,Mark William Craven;Charles David Page Jr.,Learning from Data with Complex Interactions and Ambiguous Labels,University of Wisconsin-Madison,UnitedStates,2005,0,0
99989,Takayuki  Osogami,Mor  Harchol-Balter,Analysis of Multi-server Systems via Dimensionality Reduction of Markov Chains,Carnegie Mellon University,UnitedStates,2005,0,0
99990,Marco  Martens,Sebastian Johannes van Strien,One dimensional dynamics,Technische Universiteit Delft,Netherlands,1990,2,2
99991,Rocio  Garcia-Diaz,Peter James Lambert;John  Bone,Multidimensional Poverty Analysis,University of York,UnitedKingdom,2006,0,0
99992,Kevin Christopher Chen,Satish B. Rao;Lior Samuel Pachter,Three Variations on the Theme of Comparative Genomics: Metagenomics Mitochondrial Gene Rearrangements and MicroRNAs,University of California Berkeley,UnitedStates,2005,1,1
99993,Janusz  Szczypula,George Thomas Duncan;Wilpen G. Gorr,Adaptive Hierarchial Pooling Methods for Univariate Time Series Forecasting,Carnegie Mellon University,UnitedStates,1997,0,0
99994,Sally  Greenberg,George Thomas Duncan,A Decision Theoretic Approach to Optimal Selection from a Candidate Pool,Carnegie Mellon University,UnitedStates,1983,0,0
99995,Sanda  Kaufman,George Thomas Duncan,Mediation to Resolve Conflict: Theory Experimentation and Case Studies,Carnegie Mellon University,UnitedStates,1985,0,0
99996,Sumitra  Mukherjee,George Thomas Duncan,Limiting Disclosure Risk while Ensuring Data Access in Statistical and Multilevel Relational Databases,Carnegie Mellon University,UnitedStates,1994,0,0
99997,Robert  Tarone,George Thomas Duncan,,University of California Davis,UnitedStates,1974,0,0
99998,Marcelo  Sobottka,Servet  MartÃ­nes;Alejandro Eduardo Maass,Representación y aleatorización en sistemas dinámicos de tipo algebraico,Universidad de Chile,Chile,2005,0,0
99999,Jessica  Fong,Mona  Singh,Computational Methods for Predicting Coiled-Coil Protein-Protein Interactions,Princeton University,UnitedStates,2005,0,0
